// Start Time: Unknown
// Update Rate: 100.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.0.2
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	FreeAcc_X	FreeAcc_Y	FreeAcc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	VelInc_X	VelInc_Y	VelInc_Z	OriInc_q0	OriInc_q1	OriInc_q2	OriInc_q3	Roll	Pitch	Yaw
37257	0	-8.325011	3.137710	2.914657	0.000000	0.000000	-0.450730	0.043027	-0.177183	-0.097374	0.910889	0.271729	-0.301514	-0.083261	0.031411	0.029080	0.999999	0.000215	-0.000886	-0.000487	47.207546	62.791734	-45.722977
37258	0	-8.397163	3.129007	2.863834	0.000000	0.000000	-0.405002	0.014135	-0.159053	-0.109343	0.917725	0.274170	-0.303955	-0.083977	0.031334	0.028574	1.000000	0.000071	-0.000795	-0.000547	47.637983	63.207534	-45.964853
37259	0	-8.427163	3.156744	2.797790	0.009206	0.099460	-0.389325	-0.006201	-0.118691	-0.126311	0.917480	0.276367	-0.301758	-0.084268	0.031622	0.027927	1.000000	-0.000031	-0.000593	-0.000632	47.322345	63.021293	-46.116617
37260	0	-8.590154	3.221770	2.768095	0.034458	0.188228	-0.231651	-0.012654	-0.074694	-0.129895	0.917725	0.271973	-0.301514	-0.085891	0.032275	0.027647	1.000000	-0.000063	-0.000373	-0.000649	47.154020	63.046878	-46.297340
37261	0	-8.732808	3.294247	2.784699	0.068945	0.222053	-0.075415	-0.010079	-0.041025	-0.138911	0.919678	0.280762	-0.299561	-0.087311	0.033005	0.027827	1.000000	-0.000050	-0.000205	-0.000695	47.018973	63.093876	-46.440067
37262	0	-8.865408	3.426950	2.747053	0.170549	0.302090	0.074950	0.005341	-0.022719	-0.148517	0.916992	0.289551	-0.299805	-0.088632	0.034335	0.027461	1.000000	0.000027	-0.000114	-0.000743	46.888675	63.147178	-46.589580
37263	0	-8.848585	3.499907	2.797056	0.252560	0.247353	0.099192	0.017867	-0.024648	-0.146763	0.910400	0.282959	-0.299561	-0.088464	0.035061	0.027963	1.000000	0.000089	-0.000123	-0.000734	46.782018	63.206241	-46.717327
37264	0	-8.915847	3.411984	2.948204	0.144775	0.126714	0.176749	0.021526	-0.018569	-0.138294	0.917236	0.282959	-0.299561	-0.089138	0.034178	0.029477	1.000000	0.000108	-0.000093	-0.000691	46.671323	63.256640	-46.855122
37265	0	-8.991555	3.371020	3.070473	0.080474	0.033652	0.268583	0.019365	-0.009515	-0.119919	0.914795	0.285156	-0.302002	-0.089897	0.033761	0.030704	1.000000	0.000097	-0.000048	-0.000600	46.598824	63.309370	-46.946583
37266	0	-9.047464	3.368151	3.056014	0.072618	0.064310	0.313064	0.006981	0.001985	-0.106332	0.917236	0.280762	-0.301758	-0.090456	0.033729	0.030562	1.000000	0.000035	0.000010	-0.000532	46.521062	63.354388	-47.038078
37267	0	-9.099015	3.296600	3.075611	-0.003332	0.059887	0.341889	-0.007851	0.008327	-0.101548	0.919434	0.285156	-0.299561	-0.090972	0.033013	0.030759	1.000000	-0.000039	0.000042	-0.000508	46.459966	63.405071	-47.100159
37268	0	-9.158446	3.193426	3.068139	-0.108019	0.085537	0.359312	-0.017571	0.007445	-0.101478	0.916992	0.289551	-0.304443	-0.091567	0.031983	0.030682	1.000000	-0.000088	0.000037	-0.000507	46.375937	63.450129	-47.182856
