// Start Time: Unknown
// Update Rate: 100.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.0.2
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	FreeAcc_X	FreeAcc_Y	FreeAcc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	VelInc_X	VelInc_Y	VelInc_Z	OriInc_q0	OriInc_q1	OriInc_q2	OriInc_q3	Roll	Pitch	Yaw
19600	0	8.140831	-0.977481	6.172616	-0.000000	0.000000	0.450341	0.183734	0.015714	-0.112436	-0.704834	-0.359131	-0.506836	0.081408	-0.009877	0.061711	0.999999	0.000919	0.000079	-0.000562	-9.093496	-52.486745	98.947195
19601	0	8.022142	-0.929708	6.166159	-0.000000	-0.000000	0.348051	0.191004	0.020961	-0.114535	-0.707275	-0.356934	-0.511719	0.080223	-0.009402	0.061644	0.999999	0.000955	0.000105	-0.000573	-8.671845	-52.142016	99.042084
19602	0	7.948558	-0.908895	6.145820	-0.040693	-0.064549	0.275469	0.188282	0.017839	-0.126116	-0.709473	-0.361328	-0.504395	0.079485	-0.009197	0.061442	0.999999	0.000941	0.000089	-0.000631	-8.774928	-52.315894	98.929139
19603	0	8.012582	-0.846320	6.101767	-0.085594	0.008903	0.293837	0.188518	-0.008424	-0.138950	-0.704590	-0.365723	-0.511230	0.080117	-0.008576	0.061013	0.999999	0.000943	-0.000042	-0.000695	-8.565939	-52.332667	98.801560
19604	0	7.991890	-0.833815	6.047845	-0.070964	0.038068	0.243925	0.196463	-0.028294	-0.156701	-0.702393	-0.365723	-0.506592	0.079904	-0.008460	0.060481	0.999999	0.000982	-0.000141	-0.000784	-8.341595	-52.363938	98.661356
19605	0	8.066726	-0.840758	6.001459	-0.044335	0.119377	0.275929	0.198793	-0.020129	-0.176365	-0.704590	-0.365723	-0.506592	0.080654	-0.008538	0.060014	0.999999	0.000994	-0.000101	-0.000882	-8.100075	-52.389802	98.500228
19606	0	8.224351	-0.794623	5.997654	-0.077491	0.215553	0.394697	0.193734	-0.014991	-0.191279	-0.697754	-0.370117	-0.504150	0.082231	-0.008083	0.059975	0.999999	0.000969	-0.000075	-0.000956	-7.849233	-52.412967	98.323522
19607	0	8.210324	-0.660814	6.169915	-0.184876	0.064428	0.476897	0.200676	-0.022039	-0.203622	-0.704590	-0.365723	-0.501953	0.082090	-0.006754	0.061701	0.999999	0.001003	-0.000110	-0.001018	-7.586189	-52.441147	98.136707
19608	0	8.223411	-0.653088	6.291039	-0.165713	-0.026207	0.560353	0.209023	-0.033484	-0.217682	-0.699707	-0.374512	-0.499268	0.082216	-0.006686	0.062917	0.999999	0.001045	-0.000167	-0.001088	-7.307795	-52.477771	97.937329
19609	0	8.268091	-0.665013	6.292244	-0.125436	-0.002859	0.597888	0.218288	-0.053295	-0.231828	-0.699707	-0.376709	-0.501709	0.082656	-0.006815	0.062937	0.999999	0.001091	-0.000266	-0.001159	-7.015925	-52.524629	97.727086
19610	0	8.351638	-0.611796	6.295628	-0.150371	0.038273	0.662755	0.253136	-0.059586	-0.239773	-0.699707	-0.378906	-0.496826	0.083490	-0.006298	0.062973	0.999998	0.001266	-0.000298	-0.001199	-6.695707	-52.576488	97.507871
