// Start Time: Unknown
// Update Rate: 100.0Hz
// Filter Profile: human (46.1)
// Option Flags: AHS Disabled ICC Disabled 
// Firmware Version: 4.0.2
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	FreeAcc_X	FreeAcc_Y	FreeAcc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	VelInc_X	VelInc_Y	VelInc_Z	OriInc_q0	OriInc_q1	OriInc_q2	OriInc_q3	Mat[1][1]	Mat[2][1]	Mat[3][1]	Mat[1][2]	Mat[2][2]	Mat[3][2]	Mat[1][3]	Mat[2][3]	Mat[3][3]
09203	0	8.225546	0.091094	5.899778	-0.000000	-0.000000	0.310320	-0.003527	0.005281	0.000665	-0.289795	0.073486	-0.801758	0.082257	0.000912	0.058996	1.000000	-0.000018	0.000026	0.000003	0.571678	-0.113608	0.812575	0.182571	0.983151	0.009012	-0.799908	0.143201	0.582787
09204	0	8.244268	0.104155	5.908328	-0.000000	-0.000000	0.330643	0.004049	0.003461	-0.002071	-0.291992	0.071045	-0.801758	0.082444	0.001039	0.059082	1.000000	0.000020	0.000017	-0.000010	0.571508	-0.112937	0.812787	0.179806	0.983649	0.010248	-0.800655	0.140287	0.582470
09205	0	8.209813	0.109369	5.907486	-0.015186	0.014630	0.302199	0.001628	0.006237	-0.003447	-0.294434	0.077881	-0.797363	0.082100	0.001092	0.059072	1.000000	0.000008	0.000031	-0.000017	0.571617	-0.113305	0.812660	0.181166	0.983405	0.009681	-0.800271	0.141692	0.582658
09206	0	8.175320	0.114300	5.906696	-0.032850	0.023064	0.273757	0.001319	0.004815	0.002831	-0.289795	0.071289	-0.799561	0.081755	0.001144	0.059065	1.000000	0.000007	0.000024	0.000014	0.571660	-0.113284	0.812632	0.181139	0.983410	0.009666	-0.800246	0.141674	0.582697
09207	0	8.194189	0.127303	5.915041	-0.026253	0.034910	0.294080	0.000592	-0.001074	-0.001805	-0.290039	0.075684	-0.808838	0.081942	0.001272	0.059151	1.000000	0.000003	-0.000005	-0.000009	0.571644	-0.113298	0.812642	0.181149	0.983408	0.009679	-0.800255	0.141676	0.582683
09208	0	8.228361	0.122640	5.916273	-0.008589	0.026476	0.322522	0.002940	0.000880	0.000555	-0.294434	0.077881	-0.799805	0.082284	0.001226	0.059162	1.000000	0.000015	0.000004	0.000003	0.571652	-0.113294	0.812637	0.181122	0.983413	0.009691	-0.800255	0.141647	0.582690
09209	0	8.194084	0.127473	5.915182	-0.026243	0.034894	0.294080	-0.001029	0.002860	0.000471	-0.289795	0.071289	-0.799561	0.081942	0.001275	0.059151	1.000000	-0.000005	0.000014	0.000002	0.571676	-0.113294	0.812619	0.181128	0.983412	0.009683	-0.800237	0.141653	0.582714
09210	0	8.209035	0.109605	5.908562	-0.015225	0.014677	0.302199	0.001396	0.005170	0.001261	-0.292236	0.077881	-0.802002	0.082092	0.001096	0.059084	1.000000	0.000007	0.000026	0.000006	0.571720	-0.113289	0.812589	0.181109	0.983415	0.009681	-0.800210	0.141633	0.582756
09211	0	8.240551	0.094375	5.932243	-0.018282	-0.000755	0.341463	0.001036	0.007312	-0.001643	-0.291992	0.073486	-0.801758	0.082408	0.000943	0.059319	1.000000	0.000005	0.000037	-0.000008	0.571778	-0.113319	0.812545	0.181111	0.983415	0.009703	-0.800168	0.141612	0.582818
09212	0	8.223582	0.091990	5.902502	-0.004180	-0.005577	0.310318	0.000955	0.001870	0.000513	-0.298828	0.071045	-0.806396	0.082236	0.000920	0.059024	1.000000	0.000005	0.000009	0.000003	0.571794	-0.113316	0.812534	0.181100	0.983417	0.009705	-0.800159	0.141601	0.582833
09213	0	8.276357	0.100248	5.912460	0.020171	-0.002259	0.359083	0.001477	0.010612	-0.000895	-0.294434	0.075439	-0.797363	0.082767	0.001002	0.059120	1.000000	0.000007	0.000053	-0.000004	0.571880	-0.113343	0.812469	0.181093	0.983418	0.009723	-0.800099	0.141572	0.582923
09214	0	8.258975	0.097734	5.883305	0.034272	-0.007081	0.327938	0.000293	0.012761	0.002715	-0.290039	0.080078	-0.799805	0.082593	0.000978	0.058828	1.000000	0.000001	0.000064	0.000014	0.571987	-0.113334	0.812395	0.181075	0.983421	0.009702	-0.800026	0.141555	0.583026
09215	0	8.221738	0.092015	5.905070	-0.004143	-0.005633	0.310318	0.001918	0.013912	-0.000147	-0.289795	0.071289	-0.801758	0.082221	0.000920	0.059045	1.000000	0.000010	0.000070	-0.000001	0.572098	-0.113357	0.812314	0.181061	0.983424	0.009717	-0.799950	0.141519	0.583139
09216	0	8.218516	0.081692	5.928284	-0.024891	-0.012594	0.321140	0.002436	0.017568	-0.000969	-0.287598	0.073486	-0.808838	0.082190	0.000816	0.059276	1.000000	0.000012	0.000088	-0.000005	0.572237	-0.113391	0.812211	0.181047	0.983426	0.009739	-0.799854	0.141475	0.583282
